time[d],date,hour,sub116 [mg/l],sub178 [mg/l]
249,1981-09-07,00:00:00.00,0,0
250,1981-09-08,00:00:00.00,0,0
251,1981-09-09,00:00:00.00,0,0
252,1981-09-10,00:00:00.00,0,0
253,1981-09-11,00:00:00.00,0,0
254,1981-09-12,00:00:00.00,0,0
255,1981-09-13,00:00:00.00,0,0
256,1981-09-14,00:00:00.00,0,0
257,1981-09-15,00:00:00.00,0,0
258,1981-09-16,00:00:00.00,0,0
259,1981-09-17,00:00:00.00,0,0
260,1981-09-18,00:00:00.00,0,0
261,1981-09-19,00:00:00.00,0,0
262,1981-09-20,00:00:00.00,0,0
263,1981-09-21,00:00:00.00,0,0
264,1981-09-22,00:00:00.00,0,0
265,1981-09-23,00:00:00.00,0,0
266,1981-09-24,00:00:00.00,0,0
267,1981-09-25,00:00:00.00,0,0
268,1981-09-26,00:00:00.00,0,0
269,1981-09-27,00:00:00.00,0,0
270,1981-09-28,00:00:00.00,0,0
271,1981-09-29,00:00:00.00,0,0
272,1981-09-30,00:00:00.00,0,0
273,1981-10-01,00:00:00.00,0,0
274,1981-10-02,00:00:00.00,0,0
275,1981-10-03,00:00:00.00,0,0
276,1981-10-04,00:00:00.00,0,0
277,1981-10-05,00:00:00.00,0,0
278,1981-10-06,00:00:00.00,0,0
279,1981-10-07,00:00:00.00,0,0
280,1981-10-08,00:00:00.00,0,0
281,1981-10-09,00:00:00.00,0,0
282,1981-10-10,00:00:00.00,0,0
283,1981-10-11,00:00:00.00,0,0
284,1981-10-12,00:00:00.00,0,0
285,1981-10-13,00:00:00.00,0,0
286,1981-10-14,00:00:00.00,0,0
287,1981-10-15,00:00:00.00,0,0
288,1981-10-16,00:00:00.00,0,0
289,1981-10-17,00:00:00.00,0,0
290,1981-10-18,00:00:00.00,0,0
291,1981-10-19,00:00:00.00,0,0
292,1981-10-20,00:00:00.00,0,0
293,1981-10-21,00:00:00.00,0.00058845,0.00131592
294,1981-10-22,00:00:00.00,0.00971747,0.0218026
295,1981-10-23,00:00:00.00,0.282478,0.451433
296,1981-10-24,00:00:00.00,0.0328241,0.0714376
297,1981-10-25,00:00:00.00,0.0389732,0.0841473
298,1981-10-26,00:00:00.00,0.0352244,0.0766091
299,1981-10-27,00:00:00.00,0.0136596,0.0309239
300,1981-10-28,00:00:00.00,0.0399126,0.0881836
301,1981-10-29,00:00:00.00,0.119724,0.233883
302,1981-10-30,00:00:00.00,0.361849,0.569564
303,1981-10-31,00:00:00.00,0.993097,0.993124
304,1981-11-01,00:00:00.00,0.75883,0.867487
305,1981-11-02,00:00:00.00,0.984783,0.984586
306,1981-11-03,00:00:00.00,0.97714,0.976867
307,1981-11-04,00:00:00.00,0.966212,0.965926
308,1981-11-05,00:00:00.00,0.951272,0.951069
309,1981-11-06,00:00:00.00,0.0883602,0.15646
310,1981-11-07,00:00:00.00,0.154297,0.24716
311,1981-11-08,00:00:00.00,0.984986,0.981443
312,1981-11-09,00:00:00.00,0.979205,0.97414
313,1981-11-10,00:00:00.00,0.971318,0.964206
314,1981-11-11,00:00:00.00,0.961979,0.952405
315,1981-11-12,00:00:00.00,0.950243,0.937621
316,1981-11-13,00:00:00.00,0.144966,0.214751
317,1981-11-14,00:00:00.00,0.702752,0.796548
318,1981-11-15,00:00:00.00,0.983408,0.977112
319,1981-11-16,00:00:00.00,0.976267,0.967201
320,1981-11-17,00:00:00.00,0.96654,0.953753
321,1981-11-18,00:00:00.00,0.955619,0.938785
322,1981-11-19,00:00:00.00,0.885313,0.880213
323,1981-11-20,00:00:00.00,0.825509,0.825302
324,1981-11-21,00:00:00.00,0.908354,0.876894
325,1981-11-22,00:00:00.00,0.884755,0.846346
326,1981-11-23,00:00:00.00,0.856812,0.810852
327,1981-11-24,00:00:00.00,0.823533,0.769508
328,1981-11-25,00:00:00.00,0.784931,0.72279
329,1981-11-26,00:00:00.00,0.405218,0.426684
330,1981-11-27,00:00:00.00,0.0851369,0.123942
331,1981-11-28,00:00:00.00,0.164807,0.231377
332,1981-11-29,00:00:00.00,0.497606,0.589369
333,1981-11-30,00:00:00.00,0.430232,0.523952
334,1981-12-01,00:00:00.00,0.448419,0.539204
335,1981-12-02,00:00:00.00,0.921725,0.893333
336,1981-12-03,00:00:00.00,0.899913,0.864685
337,1981-12-04,00:00:00.00,0.874075,0.831389
338,1981-12-05,00:00:00.00,0.843999,0.793477
339,1981-12-06,00:00:00.00,0.809614,0.751209
340,1981-12-07,00:00:00.00,0.771029,0.705092
341,1981-12-08,00:00:00.00,0.728561,0.655863
342,1981-12-09,00:00:00.00,0.682736,0.604457
343,1981-12-10,00:00:00.00,0.634282,0.551936
344,1981-12-11,00:00:00.00,0.584083,0.499408
345,1981-12-12,00:00:00.00,0.53312,0.447938
346,1981-12-13,00:00:00.00,0.482397,0.398468
347,1981-12-14,00:00:00.00,0.432869,0.351766
348,1981-12-15,00:00:00.00,0.385374,0.308395
349,1981-12-16,00:00:00.00,0.340589,0.268707
350,1981-12-17,00:00:00.00,0.299009,0.23286
351,1981-12-18,00:00:00.00,0.260939,0.200851
352,1981-12-19,00:00:00.00,0.226516,0.17255
353,1981-12-20,00:00:00.00,0.19573,0.147738
354,1981-12-21,00:00:00.00,0.168459,0.126139
355,1981-12-22,00:00:00.00,0.144498,0.10745
356,1981-12-23,00:00:00.00,0.123594,0.0913589
357,1981-12-24,00:00:00.00,0.105464,0.0775609
358,1981-12-25,00:00:00.00,0.0879981,0.0643382
359,1981-12-26,00:00:00.00,0.0732416,0.0532907
360,1981-12-27,00:00:00.00,0.0606503,0.0439382
361,1981-12-28,00:00:00.00,0.0506457,0.0365721
362,1981-12-29,00:00:00.00,0.0418448,0.0301188
363,1981-12-30,00:00:00.00,0.0346081,0.0248416
364,1981-12-31,00:00:00.00,0.0274687,0.0196315
365,1982-01-01,00:00:00.00,0.0228938,0.0163346
366,1982-01-02,00:00:00.00,0.0189578,0.0135026
367,1982-01-03,00:00:00.00,0.0158588,0.011283
368,1982-01-04,00:00:00.00,0.0128845,0.00914593
369,1982-01-05,00:00:00.00,0.010648,0.00754795
370,1982-01-06,00:00:00.00,0.0081334,0.00573688
371,1982-01-07,00:00:00.00,0.00642271,0.00451492
372,1982-01-08,00:00:00.00,0.00485952,0.00339714
373,1982-01-09,00:00:00.00,0.00405252,0.00283102
374,1982-01-10,00:00:00.00,0.00340138,0.00237533
375,1982-01-11,00:00:00.00,0.00284833,0.00198823
376,1982-01-12,00:00:00.00,0.00207458,0.00143691
377,1982-01-13,00:00:00.00,0.00151968,0.00104431
378,1982-01-14,00:00:00.00,0.00107197,0.00072898
379,1982-01-15,00:00:00.00,0.000681645,0.000455449
380,1982-01-16,00:00:00.00,0.000494864,0.000327418
381,1982-01-17,00:00:00.00,0.00039041,0.00025716
382,1982-01-18,00:00:00.00,0.000321722,0.00021159
383,1982-01-19,00:00:00.00,0.000253301,0.000165816
384,1982-01-20,00:00:00.00,0.000190944,0.000124037
385,1982-01-21,00:00:00.00,9.17699e-05,5.73606e-05
386,1982-01-22,00:00:00.00,4.62023e-05,2.8073e-05
387,1982-01-23,00:00:00.00,2.59854e-05,1.56471e-05
388,1982-01-24,00:00:00.00,1.11715e-05,6.71262e-06
389,1982-01-25,00:00:00.00,1.40685e-06,8.33745e-07
390,1982-01-26,00:00:00.00,0,0
391,1982-01-27,00:00:00.00,0,0
392,1982-01-28,00:00:00.00,0,0
393,1982-01-29,00:00:00.00,0,0
394,1982-01-30,00:00:00.00,0,0
395,1982-01-31,00:00:00.00,0,0
396,1982-02-01,00:00:00.00,0,0
397,1982-02-02,00:00:00.00,0,0
398,1982-02-03,00:00:00.00,0,0
399,1982-02-04,00:00:00.00,0,0
400,1982-02-05,00:00:00.00,0,0
401,1982-02-06,00:00:00.00,0,0
402,1982-02-07,00:00:00.00,0,0
403,1982-02-08,00:00:00.00,0,0
404,1982-02-09,00:00:00.00,0,0
405,1982-02-10,00:00:00.00,0,0
406,1982-02-11,00:00:00.00,0,0
407,1982-02-12,00:00:00.00,0,0
408,1982-02-13,00:00:00.00,0,0
409,1982-02-14,00:00:00.00,0,0
410,1982-02-15,00:00:00.00,0,0
411,1982-02-16,00:00:00.00,0,0
412,1982-02-17,00:00:00.00,0,0
413,1982-02-18,00:00:00.00,0,0
414,1982-02-19,00:00:00.00,0,0
415,1982-02-20,00:00:00.00,0,0
416,1982-02-21,00:00:00.00,0,0
417,1982-02-22,00:00:00.00,0,0
418,1982-02-23,00:00:00.00,0,0
419,1982-02-24,00:00:00.00,0,0
420,1982-02-25,00:00:00.00,0,0
421,1982-02-26,00:00:00.00,0,0
422,1982-02-27,00:00:00.00,0,0
423,1982-02-28,00:00:00.00,0,0
424,1982-03-01,00:00:00.00,0,0
425,1982-03-02,00:00:00.00,0,0
426,1982-03-03,00:00:00.00,0,0
427,1982-03-04,00:00:00.00,0,0
428,1982-03-05,00:00:00.00,0,0
429,1982-03-06,00:00:00.00,0,0
430,1982-03-07,00:00:00.00,0,0
431,1982-03-08,00:00:00.00,0,0
432,1982-03-09,00:00:00.00,0,0
433,1982-03-10,00:00:00.00,0,0
434,1982-03-11,00:00:00.00,0,0
435,1982-03-12,00:00:00.00,0,0
436,1982-03-13,00:00:00.00,0,0
437,1982-03-14,00:00:00.00,0,0
438,1982-03-15,00:00:00.00,0,0
439,1982-03-16,00:00:00.00,0,0
440,1982-03-17,00:00:00.00,0,0
441,1982-03-18,00:00:00.00,0.0078523,0.0125821
442,1982-03-19,00:00:00.00,0.0480456,0.0730152
443,1982-03-20,00:00:00.00,0.496081,0.449312
444,1982-03-21,00:00:00.00,0.432394,0.386725
445,1982-03-22,00:00:00.00,0.0541668,0.0807725
446,1982-03-23,00:00:00.00,0.629101,0.579267
447,1982-03-24,00:00:00.00,0.561828,0.509496
448,1982-03-25,00:00:00.00,0.076635,0.112016
449,1982-03-26,00:00:00.00,0.755025,0.711632
450,1982-03-27,00:00:00.00,0.702369,0.653319
451,1982-03-28,00:00:00.00,0.645073,0.591488
452,1982-03-29,00:00:00.00,0.583286,0.526658
453,1982-03-30,00:00:00.00,0.313206,0.322833
454,1982-03-31,00:00:00.00,0.132585,0.188172
455,1982-04-01,00:00:00.00,0.339067,0.435883
456,1982-04-02,00:00:00.00,0.647757,0.728542
457,1982-04-03,00:00:00.00,0.664945,0.739555
458,1982-04-04,00:00:00.00,0.574799,0.65997
459,1982-04-05,00:00:00.00,0.974393,0.966859
460,1982-04-06,00:00:00.00,0.959612,0.947691
461,1982-04-07,00:00:00.00,0.93969,0.922118
462,1982-04-08,00:00:00.00,0.913635,0.889118
463,1982-04-09,00:00:00.00,0.880663,0.848085
464,1982-04-10,00:00:00.00,0.84081,0.799609
465,1982-04-11,00:00:00.00,0.54283,0.572231
466,1982-04-12,00:00:00.00,0.455843,0.503141
467,1982-04-13,00:00:00.00,0.760504,0.7099
468,1982-04-14,00:00:00.00,0.644213,0.609026
469,1982-04-15,00:00:00.00,0.383135,0.414737
470,1982-04-16,00:00:00.00,0.235771,0.301213
471,1982-04-17,00:00:00.00,0.384949,0.47702
472,1982-04-18,00:00:00.00,0.601069,0.680802
473,1982-04-19,00:00:00.00,0.920854,0.916671
474,1982-04-20,00:00:00.00,0.911165,0.892958
475,1982-04-21,00:00:00.00,0.864202,0.839764
476,1982-04-22,00:00:00.00,0.751132,0.742527
477,1982-04-23,00:00:00.00,0.696291,0.682962
478,1982-04-24,00:00:00.00,0.387925,0.471807
479,1982-04-25,00:00:00.00,0.563483,0.647835
480,1982-04-26,00:00:00.00,0.661818,0.735705
481,1982-04-27,00:00:00.00,0.794391,0.83076
482,1982-04-28,00:00:00.00,0.852908,0.859407
483,1982-04-29,00:00:00.00,0.672664,0.716503
484,1982-04-30,00:00:00.00,0.609721,0.676242
485,1982-05-01,00:00:00.00,0.661756,0.726879
486,1982-05-02,00:00:00.00,0.702173,0.759299
487,1982-05-03,00:00:00.00,0.724402,0.770837
488,1982-05-04,00:00:00.00,0.687134,0.73837
489,1982-05-05,00:00:00.00,0.784828,0.805358
490,1982-05-06,00:00:00.00,0.756506,0.743184
491,1982-05-07,00:00:00.00,0.670593,0.658275
492,1982-05-08,00:00:00.00,0.638295,0.603396
493,1982-05-09,00:00:00.00,0.540375,0.501816
494,1982-05-10,00:00:00.00,0.448536,0.411004
495,1982-05-11,00:00:00.00,0.333918,0.355246
496,1982-05-12,00:00:00.00,0.402731,0.413467
497,1982-05-13,00:00:00.00,0.432037,0.409152
498,1982-05-14,00:00:00.00,0.359742,0.337353
499,1982-05-15,00:00:00.00,0.297272,0.276859
500,1982-05-16,00:00:00.00,0.235931,0.216765
501,1982-05-17,00:00:00.00,0.195855,0.194672
502,1982-05-18,00:00:00.00,0.197133,0.217474
503,1982-05-19,00:00:00.00,0.250513,0.249382
504,1982-05-20,00:00:00.00,0.213061,0.215442
505,1982-05-21,00:00:00.00,0.192017,0.187025
506,1982-05-22,00:00:00.00,0.139426,0.132817
507,1982-05-23,00:00:00.00,0.0927121,0.086109
508,1982-05-24,00:00:00.00,0.0550335,0.0490277
509,1982-05-25,00:00:00.00,0.0279325,0.023091
510,1982-05-26,00:00:00.00,0.0107995,0.0075801
511,1982-05-27,00:00:00.00,0.00288773,0.00134465
512,1982-05-28,00:00:00.00,0.000779539,3.21732e-05
513,1982-05-29,00:00:00.00,0.000428166,0
514,1982-05-30,00:00:00.00,0.000199679,0
515,1982-05-31,00:00:00.00,8.01171e-05,0
516,1982-06-01,00:00:00.00,4.26308e-05,0
517,1982-06-02,00:00:00.00,4.76674e-06,0
518,1982-06-03,00:00:00.00,0,0
519,1982-06-04,00:00:00.00,0,0
520,1982-06-05,00:00:00.00,0,0
521,1982-06-06,00:00:00.00,0,0
522,1982-06-07,00:00:00.00,0,0
523,1982-06-08,00:00:00.00,0,0
524,1982-06-09,00:00:00.00,0,0
525,1982-06-10,00:00:00.00,0,0
526,1982-06-11,00:00:00.00,0,0
527,1982-06-12,00:00:00.00,0,0
528,1982-06-13,00:00:00.00,0,0
529,1982-06-14,00:00:00.00,0,0
530,1982-06-15,00:00:00.00,0,0
531,1982-06-16,00:00:00.00,0,0
532,1982-06-17,00:00:00.00,0,0
533,1982-06-18,00:00:00.00,0,0
534,1982-06-19,00:00:00.00,0,0
535,1982-06-20,00:00:00.00,0,0
536,1982-06-21,00:00:00.00,0,0
537,1982-06-22,00:00:00.00,0,0
538,1982-06-23,00:00:00.00,0,0
539,1982-06-24,00:00:00.00,0,0
540,1982-06-25,00:00:00.00,0,0
541,1982-06-26,00:00:00.00,0,0
542,1982-06-27,00:00:00.00,0,0
543,1982-06-28,00:00:00.00,0,0
544,1982-06-29,00:00:00.00,0,0
545,1982-06-30,00:00:00.00,0,0
546,1982-07-01,00:00:00.00,0,0
547,1982-07-02,00:00:00.00,0,0
548,1982-07-03,00:00:00.00,0,0
549,1982-07-04,00:00:00.00,0,0
550,1982-07-05,00:00:00.00,0,0
551,1982-07-06,00:00:00.00,0,0
552,1982-07-07,00:00:00.00,0,0
553,1982-07-08,00:00:00.00,0,0
554,1982-07-09,00:00:00.00,0,0
555,1982-07-10,00:00:00.00,0,0
556,1982-07-11,00:00:00.00,0,0
557,1982-07-12,00:00:00.00,0,0
558,1982-07-13,00:00:00.00,0,0
559,1982-07-14,00:00:00.00,0,0
560,1982-07-15,00:00:00.00,0,0
561,1982-07-16,00:00:00.00,0,0
562,1982-07-17,00:00:00.00,0,0
563,1982-07-18,00:00:00.00,0,0
564,1982-07-19,00:00:00.00,0,0
565,1982-07-20,00:00:00.00,0,0
566,1982-07-21,00:00:00.00,0,0
567,1982-07-22,00:00:00.00,0,0
568,1982-07-23,00:00:00.00,0,0
569,1982-07-24,00:00:00.00,0,0
570,1982-07-25,00:00:00.00,0,0
571,1982-07-26,00:00:00.00,0,0
572,1982-07-27,00:00:00.00,0,0
573,1982-07-28,00:00:00.00,0,0
574,1982-07-29,00:00:00.00,0,0
575,1982-07-30,00:00:00.00,0,0
576,1982-07-31,00:00:00.00,0,0
577,1982-08-01,00:00:00.00,0,0
578,1982-08-02,00:00:00.00,0,0
579,1982-08-03,00:00:00.00,0,0
